processed_filename,mean_rating
20_1_0_20170103201733831_proc.png,4.5
20_1_0_20170104020855852_proc.png,4.25
20_1_0_20170109212842300_proc.png,2.0
20_1_0_20170109213016635_proc.png,2.75
20_1_0_20170109214040024_proc.png,3.0
20_1_0_20170109214618635_proc.png,4.5
20_1_0_20170113005610158_proc.png,3.25
20_1_0_20170114031424981_proc.png,4.0
20_1_0_20170116211743925_proc.png,4.5
20_1_0_20170117133854316_proc.png,2.5
20_1_0_20170117141204569_proc.png,3.5
20_1_0_20170117141358391_proc.png,3.0
20_1_0_20170117141400913_proc.png,3.0
20_1_0_20170117183640921_proc.png,2.75
20_1_0_20170117193547491_proc.png,3.0
20_1_0_20170117193612788_proc.png,2.75
20_1_0_20170119153410801_proc.png,3.0
20_1_0_20170119153738075_proc.png,4.5
21_1_0_20170103201838744_proc.png,4.0
21_1_0_20170104231331482_proc.png,2.75
21_1_0_20170105002525812_proc.png,3.0
21_1_0_20170105183522855_proc.png,3.0
21_1_0_20170109213123896_proc.png,3.0
21_1_0_20170112233431458_proc.png,2.75
21_1_0_20170112233433959_proc.png,4.75
21_1_0_20170114032157249_proc.png,3.0
21_1_0_20170116214444473_proc.png,4.0
21_1_0_20170117141834506_proc.png,3.0
21_1_0_20170117142326768_proc.png,2.25
21_1_0_20170117142333762_proc.png,2.75
21_1_0_20170117142338224_proc.png,2.75
21_1_0_20170117142341545_proc.png,3.0
21_1_0_20170117142529474_proc.png,3.0
22_1_0_20170103163248351_proc.png,4.25
22_1_0_20170103180211110_proc.png,3.0
22_1_0_20170103183738666_proc.png,4.5
22_1_0_20170105002545990_proc.png,5.0
22_1_0_20170109213059848_proc.png,4.5
22_1_0_20170111182452750_proc.png,3.75
22_1_0_20170112192301390_proc.png,4.25
22_1_0_20170112233719345_proc.png,2.75
22_1_0_20170112233731616_proc.png,3.0
22_1_0_20170112233750014_proc.png,2.25
22_1_0_20170114033329650_proc.png,4.0
22_1_0_20170116214345265_proc.png,4.5
22_1_0_20170116220934918_proc.png,2.75
22_1_0_20170116220936851_proc.png,2.75
22_1_0_20170116220938702_proc.png,4.25
22_1_0_20170117143206386_proc.png,3.5
22_1_0_20170117171049498_proc.png,2.5
22_1_0_20170120133800998_proc.png,3.25
23_1_0_20170103163102400_proc.png,5.0
23_1_0_20170103180518664_proc.png,3.0
23_1_0_20170104021538021_proc.png,3.0
23_1_0_20170104023208069_proc.png,3.0
23_1_0_20170104165334721_proc.png,4.5
23_1_0_20170104234542547_proc.png,3.0
23_1_0_20170112234124928_proc.png,4.25
23_1_0_20170112234202903_proc.png,3.5
23_1_0_20170112234244982_proc.png,2.75
23_1_0_20170112234313416_proc.png,3.0
23_1_0_20170112234331591_proc.png,3.0
23_1_0_20170116173236417_proc.png,3.25
23_1_0_20170116221717766_proc.png,4.25
23_1_0_20170116221811019_proc.png,3.75
23_1_0_20170116221812669_proc.png,4.75
23_1_0_20170116221815459_proc.png,3.25
23_1_0_20170116221829199_proc.png,2.75
23_1_0_20170116221829961_proc.png,4.75
23_1_0_20170116222839270_proc.png,3.25
23_1_0_20170117142807780_proc.png,3.0
23_1_0_20170117144740562_proc.png,3.0
23_1_0_20170117144757777_proc.png,3.25
23_1_0_20170117144812555_proc.png,2.5
23_1_0_20170117144822363_proc.png,3.25
23_1_0_20170117144933457_proc.png,4.5
23_1_0_20170117144945297_proc.png,3.0
23_1_0_20170117145105755_proc.png,3.5
23_1_0_20170117145123986_proc.png,3.5
24_1_0_20170103163127424_proc.png,4.0
24_1_0_20170104022714148_proc.png,3.0
24_1_0_20170104022800709_proc.png,4.0
24_1_0_20170105000615467_proc.png,3.25
24_1_0_20170105003235308_proc.png,3.0
24_1_0_20170105183618095_proc.png,4.5
24_1_0_20170109214739809_proc.png,3.0
24_1_0_20170111182452767_proc.png,3.0
24_1_0_20170112230455412_proc.png,2.0
24_1_0_20170116000527997_proc.png,4.75
24_1_0_20170116174738833_proc.png,3.5
24_1_0_20170116205900085_proc.png,4.25
24_1_0_20170116211912644_proc.png,4.25
24_1_0_20170116211933213_proc.png,4.5
24_1_0_20170116214235749_proc.png,4.5
24_1_0_20170116214532199_proc.png,2.75
24_1_0_20170116215632635_proc.png,4.0
24_1_0_20170116220210491_proc.png,2.75
24_1_0_20170116220232605_proc.png,3.0
24_1_0_20170116220317125_proc.png,1.5
24_1_0_20170116222759439_proc.png,3.0
24_1_0_20170117150535820_proc.png,3.25
24_1_0_20170117150813388_proc.png,3.25
24_1_0_20170117150909051_proc.png,2.75
24_1_0_20170117194800876_proc.png,3.0
24_1_0_20170117194916850_proc.png,2.5
25_1_0_20170103163054063_proc.png,4.5
25_1_0_20170103163718321_proc.png,4.75
25_1_0_20170103180835288_proc.png,4.5
25_1_0_20170103180907920_proc.png,2.25
25_1_0_20170103183722595_proc.png,3.25
25_1_0_20170104022944286_proc.png,4.0
25_1_0_20170104023032454_proc.png,4.5
25_1_0_20170104234942017_proc.png,2.75
25_1_0_20170109214731480_proc.png,1.25
25_1_0_20170112235132967_proc.png,4.5
25_1_0_20170116201701430_proc.png,3.0
25_1_0_20170116213524092_proc.png,3.0
25_1_0_20170116223848612_proc.png,4.0
25_1_0_20170116223849950_proc.png,5.0
25_1_0_20170116223905448_proc.png,3.5
25_1_0_20170117140138784_proc.png,4.5
25_1_0_20170117140624359_proc.png,4.0
25_1_0_20170117140853353_proc.png,2.25
25_1_0_20170117141331623_proc.png,3.0
25_1_0_20170117141726361_proc.png,3.25
25_1_0_20170117142737553_proc.png,2.25
25_1_0_20170117143909681_proc.png,2.75
25_1_0_20170117143952249_proc.png,4.0
25_1_0_20170117145650515_proc.png,4.75
25_1_0_20170117151432922_proc.png,3.25
25_1_0_20170117152038451_proc.png,3.0
25_1_0_20170117152041619_proc.png,2.75
25_1_0_20170117191541627_proc.png,3.0
25_1_0_20170117195134252_proc.png,4.0
25_1_0_20170117195346437_proc.png,3.0
25_1_0_20170117203811656_proc.png,3.0
25_1_0_20170119172023545_proc.png,4.0
25_1_0_20170119172027811_proc.png,2.75
25_1_0_20170119172030770_proc.png,2.75
